"0","0","32.0"
"0","1","19.0"
"0","2","23.0"
"0","3","26.0"
"0","4","24.0"
"1","0","57.0"
"1","1","41.0"
"1","2","28.0"
"1","3","55.0"
"1","4","46.0"
"2","0","32.0"
"2","1","34.0"
"2","2","29.0"
"2","3","57.0"
"2","4","74.0"
"3","0","161.0"
"3","1","134.0"
"3","2","120.0"
"3","3","183.0"
"3","4","432.0"
"4","0","39.0"
"4","1","70.0"
"4","2","39.0"
"4","3","33.0"
"4","4","33.0"
"5","0","32.0"
"5","1","51.0"
"5","2","40.0"
"5","3","38.0"
"5","4","29.0"
"6","0","49.0"
"6","1","198.0"
"6","2","133.0"
"6","3","49.0"
"6","4","60.0"
